country_name,yr1960
Tuvalu,6104
Nauru,4433
Palau,9642
British Virgin Islands,8033
St. Martin (French part),4279
San Marino,15397
Gibraltar,23394
Turks and Caicos Islands,5726
Liechtenstein,16495
Monaco,22452
Faroe Islands,34661
Marshall Islands,14662
Northern Mariana Islands,10035
St. Kitts and Nevis,51195
American Samoa,20013
Greenland,32500
Cayman Islands,7865
Bermuda,44400
Dominica,60011
Andorra,13411
Isle of Man,48442
Seychelles,41700
Antigua and Barbuda,55339
Aruba,54211
"Micronesia, Fed. Sts.",44537
Virgin Islands (U.S.),32500
Grenada,89869
Tonga,61601
St. Vincent and the Grenadines,80949
Kiribati,41233
Curacao,124826
Guam,66742
Channel Islands,109420
St. Lucia,89897
Samoa,108646
Sao Tome and Principe,64253
Vanuatu,63699
New Caledonia,79000
French Polynesia,78076
Barbados,230939
Iceland,175574
Belize,92064
"Bahamas, The",109528
Brunei Darussalam,81745
Maldives,89887
Malta,326550
Cabo Verde,202310
Suriname,289966
Luxembourg,313970
Solomon Islands,117866
Montenegro,480579
"Macao SAR, China",167796
Guyana,571819
Bhutan,223288
Comoros,191121
Fiji,393386
Djibouti,83636
Cyprus,572930
Mauritius,659351
Equatorial Guinea,255323
Timor-Leste,499950
Estonia,1211537
Eswatini,349174
Trinidad and Tobago,848479
Bahrain,162427
Kosovo,947000
Guinea-Bissau,616409
Latvia,2120979
Gabon,499184
Slovenia,1584720
"Macedonia, FYR",1488667
"Gambia, The",367928
Lesotho,851591
Botswana,524552
Pacific island small states,865809
Namibia,602544
Qatar,47384
Lithuania,2778550
Albania,1608800
Jamaica,1628252
Armenia,1874120
Mongolia,955505
Puerto Rico,2358000
Uruguay,2538651
Bosnia and Herzegovina,3225668
Moldova,2544000
Georgia,3645600
Panama,1132921
Croatia,4140000
Kuwait,269618
Mauritania,858168
Oman,551740
Central African Republic,1503508
Liberia,1120313
New Zealand,2371800
Ireland,2828600
Costa Rica,1333040
"Congo, Rep.",1037220
Norway,3581239
Slovak Republic,4068095
Finland,4429634
Singapore,1646400
Turkmenistan,1603258
Denmark,4579603
Lebanon,1804926
Kyrgyz Republic,2172300
Nicaragua,1774699
Libya,1448417
El Salvador,2762899
Paraguay,1902875
Lao PDR,2120896
Bulgaria,7867374
Caribbean small states,4198307
"Hong Kong SAR, China",3075605
Sierra Leone,2297110
Togo,1580513
Papua New Guinea,2010677
Switzerland,5327827
Israel,2114020
Austria,7047539
Tajikistan,2087038
Honduras,2038637
United Arab Emirates,92634
Belarus,8198000
Jordan,932257
Hungary,9983967
Azerbaijan,3895396
Sweden,7484656
Portugal,8857716
Czech Republic,9602006
Greece,8331725
Dominican Republic,3294042
Burundi,2786106
Haiti,3866159
Bolivia,3693449
Benin,2431622
Belgium,9153489
Cuba,7141135
Tunisia,4176266
Rwanda,2933428
South Sudan,2955152
Guinea,3577409
Somalia,2755947
Chad,3001593
Senegal,3206749
Cambodia,5722370
Zimbabwe,3747369
Ecuador,4545550
Guatemala,4210747
Zambia,3044846
Netherlands,11486631
Kazakhstan,9714260
Chile,7716625
Syrian Arab Republic,4573512
Mali,5263733
Malawi,3618595
Burkina Faso,4829288
Romania,18406905
Sri Lanka,9874481
Niger,3388764
Cameroon,5176268
Cote d'Ivoire,3558988
Australia,10276477
"Korea, Dem. People’s Rep.",11424176
Madagascar,5099373
"Yemen, Rep.",5172135
Ghana,6652287
Nepal,10063011
Mozambique,7388695
Angola,5643182
Other small states,9196324
Malaysia,8157106
"Venezuela, RB",8146847
Peru,10061515
Uzbekistan,8549493
Saudi Arabia,4086539
Afghanistan,8996351
Morocco,12328532
Canada,17909009
Poland,29637450
Iraq,7289761
Sudan,7544491
Algeria,11124888
Uganda,6788214
Argentina,20619075
Ukraine,42662149
Spain,30455000
Colombia,16480383
Kenya,8105440
"Korea, Rep.",25012374
Myanmar,20986123
South Africa,17456855
Tanzania,10074507
Italy,50199700
United Kingdom,52400000
France,46814237
Thailand,27397175
Turkey,27472331
"Iran, Islamic Rep.",21906903
"Congo, Dem. Rep.",15248251
Germany,72814900
Vietnam,32670629
"Egypt, Arab Rep.",26996533
Philippines,26273025
Ethiopia,22151278
Japan,92500572
Mexico,38174112
Russian Federation,119897000
Bangladesh,48199747
Nigeria,45137812
Pakistan,44908293
Brazil,72207554
Indonesia,87792515
United States,180671000
India,449480608
China,667070000